ANO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,MED
1931,96,30,53,49,239,271,291,153,133,86,97,77,131
1932,60,78,77,398,292,189,294,270,345,234,112,97,204
1933,58,77,86,43,65,104,86,141,176,171,45,21,89
1934,32,211,101,141,233,288,196,178,231,180,100,87,165
1935,62,58,60,58,54,183,340,317,345,480,167,277,200
1936,106,54,70,65,358,527,223,267,283,596,159,93,233
1937,72,114,138,68,78,78,453,392,521,201,255,73,204
1938,260,194,112,193,245,286,180,111,227,159,118,87,181
1939,90,83,159,143,311,236,168,271,398,219,330,365,231
1940,423,240,158,361,420,436,572,403,197,302,213,382,342
1941,155,193,89,453,1318,451,389,509,436,321,310,176,400
1942,88,61,125,116,400,277,157,236,205,316,111,63,180
1943,33,38,39,28,74,222,220,170,225,134,73,59,110
1944,63,44,55,33,28,200,106,57,59,96,57,28,69
1945,23,19,16,12,20,19,70,168,152,95,46,77,60
1946,234,208,91,55,80,145,191,118,86,193,130,214,145
1947,177,112,74,55,177,226,140,106,201,148,63,215,141
1948,99,97,59,105,210,274,238,246,181,184,140,59,158
1949,83,39,76,85,53,151,190,144,245,249,98,49,122
1950,44,37,44,45,94,161,140,361,232,507,223,144,169
1951,96,122,104,63,48,55,46,32,35,243,180,94,93
1952,61,54,34,35,26,187,182,102,126,191,175,88,105
1953,97,76,55,56,72,204,159,158,654,695,263,123,218
1954,231,157,138,111,91,424,533,276,732,795,254,169,326
1955,152,107,85,153,350,412,324,207,164,279,118,69,202
1956,116,109,56,435,216,132,163,210,232,150,65,49,161
1957,148,78,60,56,65,80,155,233,450,210,258,120,159
1958,88,66,102,61,52,143,114,393,261,529,217,314,195
1959,117,180,165,511,320,471,295,307,367,334,151,129,279
1960,61,55,53,44,36,94,93,156,429,320,183,88,134
1961,89,63,186,243,200,513,322,233,936,1180,342,176,374
1962,89,41,40,70,87,52,84,77,95,59,42,33,64
1963,52,65,63,58,53,64,69,187,322,646,479,433,208
1964,131,98,47,100,78,65,93,258,343,187,97,77,131
1965,50,80,61,76,72,58,109,451,694,472,228,332,224
1966,221,394,375,156,93,201,322,621,695,553,269,465,364
1967,171,109,137,65,80,101,237,416,829,320,152,115,228
1968,79,65,60,57,64,70,133,64,111,86,154,69,84
1969,156,178,86,80,105,127,106,102,124,85,142,72,114
1970,91,65,78,53,176,263,311,210,119,149,60,342,160
1971,144,150,303,163,197,324,435,450,206,117,66,47,217
1972,66,81,61,164,113,810,449,969,698,328,417,412,381
1973,242,176,143,100,361,355,652,606,570,293,228,179,325
1974,226,186,147,91,139,406,173,149,116,68,79,151,161
1975,130,194,129,120,115,223,166,421,505,304,315,212,236
1976,283,142,106,86,148,150,165,297,170,126,233,150,171
1977,137,134,110,112,76,141,320,489,290,132,198,147,191
1978,95,51,49,27,33,55,218,174,152,85,295,175,117
1979,56,94,63,101,124,110,252,272,214,563,390,353,216
1980,172,81,99,71,194,97,159,292,205,268,317,208,180
1981,142,240,75,64,50,90,69,65,215,123,147,110,116
1982,50,64,39,32,57,199,302,326,295,462,770,240,236
1983,152,207,215,361,796,477,982,637,269,294,259,104,396
1984,191,185,91,196,753,547,616,513,369,379,188,92,343
1985,43,106,113,279,337,249,298,584,491,192,80,53,235
1986,46,46,96,284,195,250,265,314,185,168,568,238,221
1987,217,145,73,465,497,306,611,390,308,256,180,87,295
1988,105,99,54,105,124,171,110,82,564,264,214,112,167
1989,174,112,91,100,81,74,323,237,880,362,165,79,223
1990,161,114,132,265,282,679,341,165,497,595,354,162,312
1991,77,48,45,56,46,184,165,160,92,104,53,109,95
1992,93,149,144,159,538,394,215,245,191,166,174,113,215
1993,154,86,148,98,226,358,415,173,142,135,199,438,214
1994,127,252,115,268,244,355,494,233,204,399,310,193,266
1995,234,149,110,58,59,123,216,147,152,345,99,51,145
1996,163,252,132,227,88,136,226,267,244,265,181,90,189
1997,60,59,36,35,47,118,114,397,155,908,1091,518,295
1998,342,714,375,396,447,282,318,611,443,265,100,83,365
1999,59,77,42,126,104,209,312,173,224,293,152,91,155
2000,82,56,104,115,100,215,344,192,265,563,322,152,209
2001,314,262,149,197,256,193,256,127,241,490,187,122,233
2002,81,88,150,213,331,566,440,429,456,716,480,524,373
2003,295,192,203,156,208,200,328,146,113,185,142,483,221
2004,185,106,50,54,152,172,218,126,154,138,214,108,140
2005,58,27,35,122,305,492,276,233,285,679,267,120,242
2006,87,51,45,37,39,152,194,157,147,114,229,128,115
2007,94,62,68,68,219,110,324,205,439,315,295,136,195
2008,91,54,38,51,75,192,152,218,161,485,422,153,174
2009,106,94,78,38,58,72,196,490,757,369,579,505,278
2010,533,275,116,176,234,262,377,211,416,203,130,187,260
2011,115,158,319,339,246,312,615,546,236,160,80,50,265
2012,58,45,42,30,28,43,134,91,236,304,147,285,120
2013,201,162,199,176,168,174,164,350,308,268,217,138,210
2014,182,91,139,144,241,652,568,280,423,563,239,190,309
2015,322,195,86,224,217,388,709,258,298,480,305,754,353
MIN,23,19,16,12,20,19,46,32,35,59,42,21,60
MED,135,123,104,138,193,241,273,273,313,313,221,177,209
MAX,533,714,375,511,1318,810,982,969,936,1180,1091,754,400
